S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
100,2024-09-16,360.00,360.00,349.00,349.10,-3.03,"67,066.00","23,670,900.50"
101,2024-09-15,371.00,372.30,359.10,360.00,-1.37,"90,671.00","33,196,564.20"
102,2024-09-12,363.10,366.40,352.00,365.00,2.53,"61,295.00","22,062,319.00"
103,2024-09-11,365.20,365.20,350.00,356.00,-1.11,"88,445.00","31,608,632.10"
104,2024-09-10,364.00,368.90,358.20,360.00,-0.72,"66,020.00","23,952,823.80"
105,2024-09-09,368.00,374.50,362.60,362.60,-2.79,"86,782.00","31,794,821.30"
106,2024-09-08,378.40,378.40,370.00,373.00,0.00,"100,624.00","37,484,875.10"
107,2024-09-05,378.00,378.00,368.00,373.00,-1.01,"96,884.00","36,058,306.80"
108,2024-09-04,392.90,392.90,375.00,376.80,-2.18,"136,516.00","51,779,018.40"
109,2024-09-03,390.00,392.00,379.20,385.20,0.05,"108,022.00","41,601,901.10"
110,2024-09-02,373.00,387.00,371.00,385.00,3.22,"150,424.00","57,302,444.70"
111,2024-09-01,380.00,384.50,372.60,373.00,-0.90,"129,467.00","48,842,445.00"
112,2024-08-29,390.00,390.00,374.00,376.40,-1.59,"171,319.00","64,791,396.00"
113,2024-08-28,382.00,394.90,378.00,382.50,0.13,"173,834.00","67,225,870.20"
114,2024-08-27,397.00,397.00,379.00,382.00,-4.26,"316,327.00","122,150,553.40"
115,2024-08-25,402.80,415.00,398.20,399.00,-2.92,"280,315.00","112,712,398.50"
116,2024-08-22,411.00,420.20,410.30,411.00,-0.94,"184,187.00","76,391,676.00"
117,2024-08-21,412.00,417.00,406.00,414.90,1.20,"272,796.00","112,194,875.10"
118,2024-08-18,427.30,428.40,407.00,410.00,-2.15,"573,837.00","239,581,433.00"
119,2024-08-15,405.00,423.10,400.00,419.00,4.20,"511,952.00","213,614,740.50"
120,2024-08-14,402.00,406.00,396.00,402.10,0.53,"259,891.00","104,298,550.20"
121,2024-08-13,394.00,405.00,393.00,400.00,2.04,"357,409.00","142,668,050.90"
122,2024-08-12,383.90,392.50,383.10,392.00,2.11,"283,100.00","110,126,483.80"
123,2024-08-11,379.00,384.90,376.00,383.90,2.35,"303,869.00","115,793,416.40"
